strategy,avg_lik,avg_imp,avg_risk,avg_len,num_paths,dst
24 printing_source ,0.6370967840991362,0.9322223968382497,0.5985926514960396,1.860041265474553,2907,smartthings_source
24 printing_source ,0.637344356221606,0.9320874919934954,0.597807859634777,1.846576227390181,188,amazonecho_source
24 printing_source ,0.5944392750655287,0.8382765786818799,0.4965317182557723,1.8755915127461456,3455,firedetection_source
24 printing_source ,0.5913353089227091,0.8110885162768529,0.47723946954119295,1.8752127056154282,501,intrusiondetection_source
24 printing_source ,0.5913584095491102,0.8113025802810717,0.4773918572377147,1.8742209631728046,8,bms_source
24 printing_source ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,7833,videosurveillance_source
24 printing_source ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,0,occupancymanagement_source
24 printing_source ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,0,energymanagement_source
18 app_app2 app_app1 ,0.7205916425576333,0.883101383273393,0.6330572083375329,1.8896753722235782,4096,smartthings_source
18 app_app2 app_app1 ,0.7275827814142084,0.8768475709325348,0.6317720695763877,1.8853140731013351,472,amazonecho_source
18 app_app2 app_app1 ,0.6593121171713723,0.8278819007666094,0.5422292279087887,1.8967618592424424,3800,firedetection_source
18 app_app2 app_app1 ,0.653737595957469,0.8050842429333318,0.5239104478531758,1.8962011173184357,581,intrusiondetection_source
18 app_app2 app_app1 ,0.653662617622897,0.8054320738627392,0.5240671485694255,1.8946018291322775,16,bms_source
18 app_app2 app_app1 ,0.8235389214093507,0.8669335447099226,0.7235326711842429,2.3400191021967527,8833,videosurveillance_source
18 app_app2 app_app1 ,0.8224449168248829,0.8671473992912462,0.7226452218119375,2.337523043405396,102,occupancymanagement_source
18 app_app2 app_app1 ,0.8224350084736247,0.8672096589263545,0.7226735869523219,2.3369989951992856,13,printing_source
19 app_app2 app_app1 ,0.7205916425576333,0.883101383273393,0.6330572083375329,1.8896753722235782,4096,smartthings_source
19 app_app2 app_app1 ,0.7275827814142084,0.8768475709325348,0.6317720695763877,1.8853140731013351,472,amazonecho_source
19 app_app2 app_app1 ,0.6593121171713723,0.8278819007666094,0.5422292279087887,1.8967618592424424,3800,firedetection_source
19 app_app2 app_app1 ,0.653737595957469,0.8050842429333318,0.5239104478531758,1.8962011173184357,581,intrusiondetection_source
19 app_app2 app_app1 ,0.653662617622897,0.8054320738627392,0.5240671485694255,1.8946018291322775,16,bms_source
19 app_app2 app_app1 ,0.8235389214093507,0.8669335447099226,0.7235326711842429,2.3400191021967527,8833,videosurveillance_source
19 app_app2 app_app1 ,0.8224449168248829,0.8671473992912462,0.7226452218119375,2.337523043405396,102,occupancymanagement_source
19 app_app2 app_app1 ,0.8224350084736247,0.8672096589263545,0.7226735869523219,2.3369989951992856,13,printing_source
20 energymanagement_source ,0.7205916425576333,0.883101383273393,0.6330572083375329,1.8896753722235782,4096,smartthings_source
20 energymanagement_source ,0.7275827814142084,0.8768475709325348,0.6317720695763877,1.8853140731013351,472,amazonecho_source
20 energymanagement_source ,0.6593121171713723,0.8278819007666094,0.5422292279087887,1.8967618592424424,3800,firedetection_source
20 energymanagement_source ,0.653737595957469,0.8050842429333318,0.5239104478531758,1.8962011173184357,581,intrusiondetection_source
20 energymanagement_source ,0.653662617622897,0.8054320738627392,0.5240671485694255,1.8946018291322775,16,bms_source
20 energymanagement_source ,0.8235389214093507,0.8669335447099226,0.7235326711842429,2.3400191021967527,8833,videosurveillance_source
20 energymanagement_source ,0.8224449168248829,0.8671473992912462,0.7226452218119375,2.337523043405396,102,occupancymanagement_source
20 energymanagement_source ,0.8224350084736247,0.8672096589263545,0.7226735869523219,2.3369989951992856,13,printing_source
21 energymanagement_source ,0.7205916425576333,0.883101383273393,0.6330572083375329,1.8896753722235782,4096,smartthings_source
21 energymanagement_source ,0.7275827814142084,0.8768475709325348,0.6317720695763877,1.8853140731013351,472,amazonecho_source
21 energymanagement_source ,0.6593121171713723,0.8278819007666094,0.5422292279087887,1.8967618592424424,3800,firedetection_source
21 energymanagement_source ,0.653737595957469,0.8050842429333318,0.5239104478531758,1.8962011173184357,581,intrusiondetection_source
21 energymanagement_source ,0.653662617622897,0.8054320738627392,0.5240671485694255,1.8946018291322775,16,bms_source
21 energymanagement_source ,0.8235389214093507,0.8669335447099226,0.7235326711842429,2.3400191021967527,8833,videosurveillance_source
21 energymanagement_source ,0.8224449168248829,0.8671473992912462,0.7226452218119375,2.337523043405396,102,occupancymanagement_source
21 energymanagement_source ,0.8224350084736247,0.8672096589263545,0.7226735869523219,2.3369989951992856,13,printing_source
22 energymanagement_source ,0.7205916425576333,0.883101383273393,0.6330572083375329,1.8896753722235782,4096,smartthings_source
22 energymanagement_source ,0.7275827814142084,0.8768475709325348,0.6317720695763877,1.8853140731013351,472,amazonecho_source
22 energymanagement_source ,0.6593121171713723,0.8278819007666094,0.5422292279087887,1.8967618592424424,3800,firedetection_source
